Annual_Income,Monthly_Average_Spend,Transactions_Per_Month,Online_Offline_Spend_Ratio,Travel_Spend_Ratio,Dining_Spend_Ratio,Transaction_Summary,Reward_Tier
398129,70677,5,0.23,0.29,0.46,fine dining,Basic
846158,41850,11,0.42,0.19,0.29,flight booking,Gold
864970,68159,21,0.8,0.52,0.4,hotel stay & restaurant visit & online shopping,Gold
995455,52469,47,0.54,0.47,0.01,flight booking & online shopping,Gold
490762,47514,75,0.3,0.11,0.21,grocery shopping,Basic
469885,45772,21,0.27,0.09,0.49,restaurant visit,Platinum
930485,64932,63,0.22,0.21,0.29,fine dining,Gold
874246,56511,7,0.82,0.25,0.42,restaurant visit & online shopping,Gold
862623,95516,33,0.58,0.56,0.48,hotel stay & restaurant visit & online shopping,Gold
886612,32955,26,0.71,0.18,0.34,fine dining & electronics purchase,Basic
629993,60362,42,0.86,0.52,0.16,international travel & online shopping,Basic
858063,39415,58,0.99,0.3,0.15,flight booking & online shopping,Basic
873268,32614,97,0.25,0.53,0.04,flight booking,Platinum
621412,49782,54,0.18,0.42,0.21,flight booking,Basic
1266443,52747,73,0.46,0.43,0.46,flight booking & restaurant visit,Gold
918458,108363,34,0.04,0.31,0.24,hotel stay,Gold
502174,46317,27,0.79,0.5,0.46,hotel stay & fine dining & electronics purchase,Basic
964138,27396,89,0.88,0.15,0.41,fine dining & online shopping,Platinum
556329,55460,94,0.69,0.54,0.49,hotel stay & fine dining & electronics purchase,Basic
996771,8507,51,0.27,0.38,0.47,hotel stay & restaurant visit,Basic
1089648,48160,25,0.12,0.26,0.35,restaurant visit,Platinum
594829,50320,24,0.38,0.59,0.44,hotel stay & restaurant visit,Basic
1040844,65892,27,0.83,0.52,0.37,flight booking & fine dining & electronics purchase,Platinum
903195,69472,72,0.35,0.46,0.35,flight booking & fine dining,Gold
1005515,39928,25,0.03,0.16,0.36,fine dining,Basic
1274198,46987,25,0.27,0.58,0.36,international travel & restaurant visit,Gold
738652,34677,5,0.99,0.45,0.19,flight booking & online shopping,Basic
611565,27438,19,0.68,0.36,0.21,international travel & electronics purchase,Basic
577621,56197,21,0.9,0.55,0.15,international travel & online shopping,Basic
596047,24528,55,0.77,0.1,0.07,online shopping,Basic
780724,41707,67,0.54,0.08,0.23,online shopping,Platinum
885287,30096,18,0.15,0.34,0.45,flight booking & fine dining,Basic
869172,60993,63,0.35,0.03,0.33,fine dining,Gold
1006795,86028,87,0.58,0.4,0.03,international travel & online shopping,Gold
803250,23968,54,0.87,0.14,0.41,restaurant visit & online shopping,Basic
1163383,12939,38,0.27,0.07,0.47,fine dining,Basic
733835,47502,10,0.12,0.25,0.41,fine dining,Gold
1480042,50313,53,0.56,0.28,0.36,fine dining & electronics purchase,Gold
956416,54373,10,0.18,0.1,0.08,international travel,Gold
585710,41073,73,0.61,0.02,0.17,electronics purchase,Basic
532276,45987,11,0.26,0.25,0.28,electronics purchase,Platinum
920618,57350,81,0.23,0.46,0.04,flight booking,Platinum
744134,70808,55,0.4,0.52,0.05,international travel,Gold
978500,10899,5,0.59,0.06,0.47,restaurant visit & online shopping,Basic
918309,42621,17,0.55,0.31,0.35,hotel stay & restaurant visit & online shopping,Gold
781792,54276,47,0.24,0.16,0.14,electronics purchase,Gold
588301,31640,31,0.89,0.22,0.16,electronics purchase,Basic
421288,84623,75,0.11,0.56,0.19,hotel stay,Basic
688371,37291,7,0.04,0.21,0.04,hotel stay,Basic
1014099,49174,62,0.6,0.22,0.37,fine dining & electronics purchase,Gold
853523,61120,93,0.12,0.13,0.09,international travel,Gold
488565,38174,21,0.5,0.58,0.4,international travel & fine dining & online shopping,Basic
843295,13068,49,0.95,0.27,0.42,fine dining & electronics purchase,Basic
896329,41426,82,0.7,0.34,0.32,flight booking & restaurant visit & online shopping,Gold
579035,70588,62,0.62,0.27,0.38,fine dining & electronics purchase,Basic
838431,43262,60,0.57,0.15,0.09,electronics purchase,Gold
814552,33071,58,0.18,0.49,0.29,flight booking,Basic
514257,68513,91,0.43,0.02,0.34,restaurant visit,Basic
889446,43384,92,0.34,0.41,0.33,international travel & restaurant visit,Gold
940196,39796,33,0.95,0.36,0.06,international travel & online shopping,Basic
1070762,52989,58,0.24,0.09,0.17,movie tickets,Gold
1063450,65415,31,0.47,0.1,0.16,electronics purchase,Gold
455582,97634,49,0.94,0.4,0.29,international travel & online shopping,Basic
565543,66544,91,0.79,0.19,0.38,fine dining & electronics purchase,Basic
928758,73196,35,0.96,0.16,0.29,online shopping,Platinum
928446,39880,40,0.61,0.04,0.38,fine dining & online shopping,Basic
928761,29482,85,0.33,0.46,0.05,hotel stay,Platinum
1763182,51246,65,0.83,0.53,0.44,hotel stay & fine dining & electronics purchase,Platinum
942722,52143,41,0.29,0.49,0.27,flight booking,Gold
1083891,28429,71,0.16,0.28,0.02,electronics purchase,Basic
1038500,46494,40,0.71,0.32,0.32,international travel & restaurant visit & electronics purchase,Platinum
962847,57986,9,0.64,0.15,0.26,online shopping,Gold
721182,57207,50,0.88,0.1,0.11,online shopping,Gold
989742,60085,83,0.96,0.49,0.38,international travel & restaurant visit & electronics purchase,Platinum
606793,55819,56,0.86,0.48,0.47,flight booking & fine dining & electronics purchase,Basic
740795,39859,53,0.06,0.47,0.16,flight booking,Basic
678659,39721,10,0.66,0.28,0.25,electronics purchase,Basic
820468,26020,14,0.78,0.52,0.06,flight booking & electronics purchase,Basic
1378664,85695,27,0.98,0.56,0.46,international travel & restaurant visit & online shopping,Gold
333183,50269,21,0.37,0.2,0.16,hotel stay,Basic
971565,45502,88,0.17,0.13,0.1,hotel stay,Gold
396821,31424,48,0.85,0.28,0.24,online shopping,Basic
682017,108713,45,0.32,0.11,0.02,movie tickets,Basic
1072237,28533,19,0.6,0.53,0.13,flight booking & electronics purchase,Basic
816070,41423,48,0.39,0.2,0.03,international travel,Gold
530563,58316,62,0.4,0.35,0.06,international travel,Basic
621174,62004,90,0.73,0.36,0.06,flight booking & electronics purchase,Platinum
969899,69158,54,0.36,0.31,0.44,flight booking & fine dining,Gold
617408,86152,56,0.69,0.09,0.47,restaurant visit & electronics purchase,Basic
854114,60123,74,0.01,0.59,0.24,flight booking,Gold
811392,28879,72,0.32,0.1,0.32,restaurant visit,Basic
637099,44861,67,0.32,0.45,0.35,flight booking & fine dining,Basic
1335986,56156,62,0.75,0.47,0.2,international travel & online shopping,Gold
958479,91364,27,0.31,0.09,0.19,fuel refill,Gold
293714,22043,48,0.63,0.56,0.34,international travel & restaurant visit & online shopping,Platinum
846613,74051,87,0.69,0.29,0.19,online shopping,Gold
634553,53598,99,0.66,0.38,0.29,flight booking & online shopping,Basic
1013108,66756,48,0.6,0.39,0.26,hotel stay & online shopping,Gold
601869,47960,56,0.41,0.3,0.26,flight booking,Basic
771315,33151,71,0.37,0.09,0.41,restaurant visit,Basic
926246,65017,32,0.56,0.45,0.35,hotel stay & fine dining & electronics purchase,Gold
1016438,63088,71,0.06,0.35,0.48,flight booking & fine dining,Gold
499925,69441,82,0.88,0.07,0.4,restaurant visit & online shopping,Basic
716374,49733,22,0.83,0.42,0.07,hotel stay & online shopping,Gold
681263,38003,31,0.35,0.42,0.37,flight booking & restaurant visit,Basic
636667,18824,55,0.57,0.33,0.33,hotel stay & restaurant visit & online shopping,Basic
1241363,66387,64,0.93,0.05,0.32,fine dining & online shopping,Gold
901245,58477,78,0.27,0.21,0.24,grocery shopping,Gold
484779,30684,53,0.74,0.03,0.03,electronics purchase,Basic
1029465,39228,19,0.08,0.29,0.48,restaurant visit,Basic
1330539,40664,87,0.52,0.54,0.43,hotel stay & fine dining & electronics purchase,Gold
1058116,20340,77,0.88,0.0,0.24,electronics purchase,Basic
420157,33646,72,0.55,0.16,0.08,electronics purchase,Basic
678941,27323,19,0.62,0.48,0.41,international travel & restaurant visit & online shopping,Basic
1116727,41750,55,0.91,0.01,0.22,online shopping,Gold
623082,35226,52,0.72,0.01,0.2,electronics purchase,Basic
910954,17459,76,0.7,0.37,0.33,flight booking & restaurant visit & online shopping,Basic
993658,90451,5,0.59,0.47,0.38,flight booking & restaurant visit & electronics purchase,Gold
568267,75050,11,0.63,0.47,0.03,international travel & electronics purchase,Basic
785118,34419,57,0.8,0.47,0.38,hotel stay & fine dining & electronics purchase,Basic
200000,55448,35,0.98,0.22,0.37,fine dining & electronics purchase,Basic
543903,58349,22,0.8,0.53,0.29,flight booking & electronics purchase,Basic
736857,73821,16,0.71,0.01,0.17,online shopping,Gold
488054,33627,52,0.14,0.19,0.08,movie tickets,Basic
1208102,71842,34,0.82,0.2,0.05,online shopping,Gold
442464,39041,11,0.74,0.1,0.0,electronics purchase,Basic
689988,23282,96,0.77,0.2,0.1,electronics purchase,Basic
832685,64482,7,0.23,0.35,0.21,flight booking,Gold
1160318,75815,67,0.9,0.31,0.12,international travel & electronics purchase,Gold
441034,101758,10,0.1,0.19,0.15,international travel,Basic
1090790,26005,99,0.25,0.45,0.2,hotel stay,Platinum
802558,63978,19,0.66,0.43,0.15,international travel & online shopping,Gold
554622,41803,75,0.67,0.17,0.36,restaurant visit & electronics purchase,Basic
915525,65667,47,0.31,0.19,0.25,online shopping,Gold
849764,20590,98,0.7,0.17,0.01,electronics purchase,Basic
649945,24744,95,0.39,0.08,0.11,online shopping,Basic
817450,34482,85,0.0,0.45,0.35,international travel & restaurant visit,Basic
703671,51579,22,0.16,0.03,0.15,movie tickets,Gold
828379,37178,26,0.88,0.09,0.46,fine dining & online shopping,Basic
965532,63181,65,0.22,0.06,0.36,restaurant visit,Gold
1196504,70537,65,0.11,0.5,0.14,international travel,Gold
490546,61991,57,0.68,0.03,0.26,electronics purchase,Basic
1333258,82375,30,0.44,0.4,0.33,international travel & fine dining,Gold
311978,58316,95,0.8,0.03,0.1,electronics purchase,Basic
762053,25662,44,0.86,0.47,0.12,hotel stay & online shopping,Basic
947079,77267,92,0.85,0.55,0.25,hotel stay & electronics purchase,Gold
870247,37896,12,0.31,0.29,0.46,fine dining,Platinum
644325,68208,25,0.51,0.48,0.17,hotel stay & electronics purchase,Basic
747969,81474,97,0.65,0.42,0.2,hotel stay & electronics purchase,Gold
676749,59133,47,0.32,0.48,0.1,hotel stay,Basic
652658,20076,25,0.04,0.46,0.3,international travel,Basic
1012400,31635,7,0.5,0.12,0.37,fine dining,Basic
889253,76454,35,0.01,0.3,0.22,movie tickets,Gold
626772,46617,31,0.95,0.58,0.38,hotel stay & fine dining & online shopping,Basic
1024899,51591,31,0.8,0.21,0.15,electronics purchase,Platinum
876824,65176,77,0.19,0.58,0.35,international travel & restaurant visit,Gold
1003215,63926,61,0.29,0.35,0.13,flight booking,Gold
957407,55575,37,0.98,0.28,0.39,fine dining & electronics purchase,Gold
592751,45826,94,0.37,0.39,0.42,flight booking & fine dining,Basic
659954,43746,96,0.78,0.49,0.4,flight booking & fine dining & online shopping,Basic
986823,67157,48,0.45,0.24,0.11,grocery shopping,Platinum
952592,61071,47,0.86,0.02,0.35,restaurant visit & online shopping,Gold
794774,44853,35,0.7,0.43,0.27,hotel stay & electronics purchase,Gold
829331,71642,69,0.02,0.57,0.49,international travel & fine dining,Gold
1119416,47419,88,0.29,0.37,0.18,international travel,Gold
652107,32966,80,0.56,0.11,0.39,restaurant visit & electronics purchase,Basic
936774,34820,21,0.93,0.15,0.19,electronics purchase,Basic
749451,30425,19,0.1,0.55,0.2,flight booking,Basic
745579,44551,38,0.6,0.01,0.06,online shopping,Gold
1074694,74674,84,0.3,0.33,0.12,international travel,Gold
1006354,33898,8,0.89,0.1,0.08,online shopping,Basic
1003377,53769,76,0.77,0.17,0.08,online shopping,Gold
1126369,36866,93,0.37,0.18,0.0,online shopping,Basic
805250,44793,83,0.17,0.13,0.4,fine dining,Platinum
970488,19799,32,0.01,0.48,0.23,flight booking,Basic
722433,45589,77,0.62,0.2,0.4,restaurant visit & online shopping,Gold
881041,46125,6,0.41,0.21,0.31,fine dining,Gold
767464,60805,21,0.31,0.27,0.42,fine dining,Gold
824248,54465,62,0.99,0.54,0.25,hotel stay & online shopping,Gold
948789,26032,78,0.47,0.41,0.05,hotel stay,Platinum
595444,71683,13,0.75,0.04,0.31,restaurant visit & electronics purchase,Basic
1323096,54206,35,0.18,0.02,0.34,restaurant visit,Gold
548495,53967,70,0.01,0.34,0.31,international travel & restaurant visit,Basic
496452,49816,92,0.42,0.53,0.4,flight booking & restaurant visit,Basic
1089527,39644,66,0.67,0.19,0.37,restaurant visit & electronics purchase,Basic
997915,54356,23,0.51,0.15,0.22,online shopping,Platinum
956029,59511,85,0.89,0.45,0.41,international travel & restaurant visit & electronics purchase,Gold
957086,15062,78,0.43,0.36,0.35,international travel & fine dining,Basic
796938,39224,59,0.31,0.34,0.06,hotel stay,Basic
575686,44901,32,0.92,0.09,0.27,electronics purchase,Platinum
818951,55123,96,0.41,0.11,0.36,fine dining,Gold
630709,73866,54,0.27,0.17,0.28,electronics purchase,Basic
1043779,34565,69,0.1,0.12,0.47,fine dining,Basic
763235,40040,7,0.79,0.58,0.05,hotel stay & electronics purchase,Gold
593625,39749,83,0.83,0.01,0.36,restaurant visit & online shopping,Basic
719653,33969,56,0.03,0.38,0.41,flight booking & fine dining,Basic
903232,43056,14,0.36,0.31,0.35,flight booking & restaurant visit,Gold
659068,65416,25,0.75,0.19,0.19,online shopping,Basic
594444,28923,41,0.95,0.53,0.19,international travel & online shopping,Basic
860921,58556,19,0.38,0.4,0.29,flight booking,Gold
861241,15961,91,0.87,0.6,0.2,hotel stay & electronics purchase,Basic
673264,38773,82,0.39,0.1,0.44,restaurant visit,Basic
682240,43410,83,0.18,0.05,0.05,movie tickets,Basic
858012,83497,78,0.0,0.08,0.32,restaurant visit,Gold
437978,44503,13,0.33,0.16,0.07,online shopping,Basic
448134,5975,48,0.38,0.25,0.27,flight booking,Basic
620388,10022,43,0.95,0.52,0.36,flight booking & restaurant visit & electronics purchase,Basic
746638,50680,9,0.21,0.17,0.08,international travel,Gold
877726,62275,29,0.38,0.55,0.35,international travel & fine dining,Platinum
1168839,57509,60,0.03,0.28,0.07,international travel,Gold
1014414,53351,94,0.76,0.39,0.31,hotel stay & restaurant visit & online shopping,Gold
760015,73245,68,0.92,0.16,0.25,electronics purchase,Gold
795245,39208,76,0.24,0.09,0.15,electronics purchase,Basic
549367,67898,90,0.43,0.52,0.06,hotel stay,Basic
795371,17359,56,0.12,0.07,0.37,restaurant visit,Basic
727835,31901,93,0.46,0.46,0.19,international travel,Basic
880679,13859,80,0.13,0.35,0.04,international travel,Basic
593192,44503,13,0.52,0.52,0.39,international travel & fine dining & electronics purchase,Basic
929836,49074,14,0.73,0.43,0.12,flight booking & electronics purchase,Gold
1183184,52282,14,0.55,0.17,0.37,restaurant visit & electronics purchase,Gold
772809,51237,77,0.25,0.34,0.28,flight booking,Gold
900427,31448,66,0.35,0.01,0.1,online shopping,Basic
972535,46195,94,0.64,0.29,0.04,electronics purchase,Gold
699694,20051,95,0.59,0.05,0.3,electronics purchase,Basic
856023,77264,64,0.14,0.26,0.01,fine dining,Gold
803148,43927,99,0.84,0.07,0.03,electronics purchase,Gold
824419,40222,23,0.48,0.57,0.35,flight booking & fine dining,Gold
606747,81778,42,0.16,0.31,0.27,hotel stay,Basic
806127,25155,10,0.12,0.55,0.16,international travel,Basic
924499,27488,19,0.97,0.01,0.27,online shopping,Basic
1162785,28075,97,0.28,0.38,0.3,flight booking,Basic
1039817,48642,51,0.91,0.18,0.28,electronics purchase,Gold
1338295,58632,49,0.41,0.26,0.32,fine dining,Platinum
608163,64793,9,0.39,0.52,0.47,hotel stay & fine dining,Basic
1018080,101439,82,0.7,0.59,0.19,flight booking & electronics purchase,Gold
845835,5011,57,0.01,0.15,0.15,online shopping,Basic
1347450,62174,70,0.34,0.57,0.02,hotel stay,Gold
597925,38857,66,0.3,0.41,0.07,flight booking,Basic
590069,38271,27,0.87,0.57,0.05,hotel stay & electronics purchase,Basic
650151,37604,48,0.53,0.34,0.17,hotel stay & electronics purchase,Basic
269026,31824,56,0.36,0.58,0.3,hotel stay & restaurant visit,Platinum
668561,83690,50,0.27,0.54,0.02,hotel stay,Basic
610216,66845,23,0.59,0.08,0.36,fine dining & electronics purchase,Basic
837598,50463,92,0.15,0.19,0.2,flight booking,Gold
885438,77020,88,0.25,0.15,0.48,fine dining,Gold
1269042,19749,51,0.29,0.34,0.28,hotel stay,Basic
1037605,23385,95,0.61,0.48,0.39,flight booking & fine dining & online shopping,Basic
655774,6440,56,0.37,0.46,0.43,flight booking & fine dining,Basic
575396,36011,28,0.51,0.44,0.44,flight booking & fine dining & online shopping,Basic
922979,53233,21,0.65,0.23,0.26,online shopping,Gold
469941,52057,93,0.96,0.08,0.2,online shopping,Basic
1257864,52986,50,0.76,0.13,0.28,electronics purchase,Gold
1094860,21778,68,0.41,0.45,0.2,international travel,Basic
682706,66063,99,0.75,0.09,0.12,online shopping,Basic
371716,54792,32,0.95,0.13,0.16,online shopping,Basic
1138468,64661,54,0.5,0.25,0.12,restaurant visit,Gold
771365,12144,68,0.41,0.04,0.13,electronics purchase,Basic
1109454,56229,32,0.08,0.13,0.05,fuel refill,Platinum
401393,26244,90,0.89,0.09,0.21,online shopping,Basic
650156,42053,60,0.25,0.57,0.12,international travel,Platinum
801310,60687,63,0.06,0.11,0.22,international travel,Gold
811745,51821,9,0.54,0.52,0.4,international travel & fine dining & online shopping,Gold
687483,32969,58,0.85,0.07,0.22,electronics purchase,Basic
955712,50125,48,0.41,0.52,0.48,flight booking & fine dining,Gold
533094,19369,46,0.78,0.36,0.07,hotel stay & electronics purchase,Basic
764405,73005,76,0.84,0.51,0.43,hotel stay & fine dining & online shopping,Gold
830073,45894,96,0.45,0.52,0.12,international travel,Gold
928609,72370,61,0.59,0.36,0.47,international travel & fine dining & online shopping,Gold
977903,39469,51,0.53,0.55,0.11,international travel & electronics purchase,Basic
518839,39528,80,0.94,0.35,0.37,international travel & fine dining & online shopping,Basic
416471,34716,29,0.73,0.43,0.03,hotel stay & electronics purchase,Basic
1119419,67523,48,0.93,0.25,0.31,restaurant visit & online shopping,Gold
883078,35811,19,0.22,0.55,0.11,international travel,Basic
612878,62891,55,0.31,0.49,0.34,international travel & restaurant visit,Basic
1187787,42350,57,0.07,0.1,0.32,fine dining,Gold
828918,10480,38,0.5,0.35,0.46,hotel stay & restaurant visit,Basic
