movie_id,title,year,runtime_min,budget_musd,box_office_musd,genres,director,main_actor,mpaa_rating,num_critic_reviews,avg_user_rating,language,country
103,Dark Kingdom,2016,97,2.9,2.26,Thriller,D_89,A_Singh,PG-13,10,5.0,English,CAN
104,Last Promise,1998,124,0.93,0.0,Documentary|Crime,D_Lee,A_161,PG-13,10,8.1,English,USA
105,Red Promise,2004,99,2.32,2.99,Comedy,D_92,A_8,PG-13,4,5.0,English,USA
106,Red Night,2004,113,4.05,4.23,Documentary,D_Smith,A_Brown,R,9,6.2,English,UK
107,Dark Echo,2015,135,2.94,7.11,Sci-Fi,D_Nguyen,A_156,PG-13,6,6.7,Spanish,MEX
108,First Heist,2002,105,2.94,14.6,Comedy,D_Patel,A_57,PG-13,12,6.4,English,USA
109,Dark Report,2021,124,40.79,52.17,Fantasy,D_Garcia,A_Singh,PG-13,30,5.0,Hindi,IND
110,First Love,2021,119,1.45,0.0,Horror|Romance,D_Patel,A_197,PG-13,9,6.5,Hindi,IND
111,Hidden Days,1993,115,1.35,2.62,Romance|Family,D_3,A_166,PG-13,15,8.4,Mandarin,CHN
112,Red Journey,2019,116,2.45,0.0,Thriller|Comedy,D_Fernandez,A_Lopez,PG-13,5,8.4,English,USA
113,Family Heist,2012,109,5.4,13.88,Horror,D_Kumar,A_Smith,PG-13,41,5.2,English,USA
114,Silent Echo,2004,111,1.51,5.9,Fantasy|Comedy,D_6,A_Kumar,PG-13,8,6.2,French,FRA
115,Family Heist,2018,102,35.36,118.31,Horror,D_87,A_Chen,R,53,7.8,English,USA
116,Family Edge,2002,111,3.04,0.0,Adventure|Comedy,D_94,A_93,R,3,7.8,English,USA
117,Indie Heist,2021,101,6.31,7.38,Crime,D_55,A_Singh,R,45,6.0,Mandarin,CHN
118,Bright Days,1996,125,3.03,9.39,Fantasy,D_Lee,A_Patel,G,7,5.8,English,USA
119,Indie Kingdom,2011,85,66.36,222.74,Adventure,D_Lee,A_23,PG-13,43,6.6,Spanish,MEX
120,Indie Fall,2017,117,92.61,221.83,Adventure,D_Smith,A_Kumar,PG-13,28,5.8,English,USA
121,Urban Love,1991,115,6.53,5.54,Romance,D_50,A_Lopez,R,48,8.5,Hindi,IND
122,First Sky,1995,114,21.17,50.82,Horror,D_Kumar,A_Brown,PG-13,31,7.2,English,USA
123,Bright Night,2017,125,75.51,128.49,Adventure,D_87,A_Brown,PG-13,42,5.8,English,USA
124,Star Echo,2017,106,2.32,3.45,Drama,D_Wong,A_44,R,5,4.4,French,FRA
125,Hidden Edge,2009,114,0.96,3.01,Fantasy,D_Smith,A_Patel,PG,11,5.5,English,USA
126,Bright Heist,2019,84,,7.29,Horror,D_10,A_Singh,R,8,4.9,Spanish,MEX
127,Golden Heist,2000,104,3.45,5.12,Adventure,D_Johnson,A_Jones,PG-13,5,7.0,Mandarin,CHN
128,Urban Dream,2017,123,2.94,4.65,Drama,D_14,A_59,PG-13,12,9.5,French,FRA
129,Indie Dream,2014,90,167.39,357.47,Horror,D_20,A_Brown,PG-13,39,6.1,English,USA
130,Final Rise,2022,112,5.13,8.21,Horror,D_Smith,A_Smith,PG,47,6.1,French,FRA
131,Red Love,1990,100,6.54,0.0,Thriller,D_69,A_1,PG,41,6.0,English,USA
132,Dark Rise,2016,108,4.62,0.0,Family|Adventure,D_Fernandez,A_Lopez,PG-13,5,8.4,English,UK
133,Bright Night,2002,101,,11.92,Sci-Fi,D_Patel,A_Kumar,PG,12,5.3,English,USA
134,Last Days,1992,91,4.32,7.7,Horror,D_14,A_Smith,PG-13,8,6.5,English,USA
135,Red Dream,1995,116,0.61,0.0,Crime,D_83,A_192,PG-13,7,5.9,English,USA
136,Indie Rise,1997,109,102.61,41.7,Adventure|Action,D_92,A_179,PG-13,42,6.0,Spanish,MEX
137,Family Heist,2016,119,0.98,11.24,Thriller|Drama,D_57,A_129,PG-13,10,4.9,English,USA
138,Star Report,1998,122,1.17,0.0,Documentary,D_42,A_Garcia,R,7,5.2,English,USA
139,First Dream,2022,128,7.8,23.22,Documentary,D_Brown,A_147,PG,37,8.4,English,USA
140,Star Night,2013,112,1.27,0.0,Drama,D_Nguyen,A_158,R,12,4.8,English,USA
141,Star Journey,2004,129,41.73,99.45,Family,D_2,A_Jones,PG-13,49,7.1,English,USA
142,Urban Journey,2021,95,4.1,2.87,Crime,D_95,A_8,PG-13,8,5.7,English,USA
143,Indie Echo,2021,124,2.84,14.96,Family,D_Smith,A_Kumar,PG,4,7.4,English,USA
144,Family Dream,2013,117,4.29,4.77,Drama,D_Wong,A_13,PG-13,9,5.7,Hindi,IND
145,Golden Journey,2001,113,109.09,105.7,Adventure|Romance,D_Lee,A_137,R,41,3.9,English,USA
146,Golden Night,1991,117,4.74,0.98,Action,D_1,A_50,PG-13,9,6.4,English,USA
147,First Echo,1992,96,0.87,4.64,Romance|Fantasy,D_Brown,A_Jones,R,7,8.6,English,UK
148,Hidden Night,2006,92,6.33,20.28,Drama,D_83,A_Smith,PG-13,52,5.4,Japanese,JPN
149,First Promise,1991,136,2.52,0.0,Sci-Fi,D_Patel,A_Jones,PG,10,5.3,English,AUS
150,Family Picnic,1991,107,3.43,7.72,Sci-Fi|Family,D_44,A_163,R,9,6.2,English,CAN
151,Loud Night,2017,107,0.8,0.0,Horror,D_31,A_194,PG-13,5,5.9,Hindi,IND
152,Dark Love,2012,93,4.49,9.62,Horror,D_Wong,A_Brown,PG-13,11,5.6,Spanish,ESP
153,Loud Days,2021,88,,9.71,Comedy,D_Nguyen,A_Singh,PG-13,4,7.1,Hindi,IND
154,Dark Sky,2022,109,4.6,12.03,Sci-Fi,D_Wong,A_Patel,R,6,7.2,Hindi,IND
155,Red Fall,1990,105,1.68,6.76,Family,D_83,A_Zhao,PG-13,9,6.3,English,USA
156,Bright Report,2008,110,5.35,15.37,Crime|Adventure,D_Johnson,A_Singh,R,45,5.8,English,USA
157,Red Promise,1991,111,1.06,0.43,Sci-Fi,D_Brown,A_106,PG-13,11,6.5,English,USA
158,First Promise,2015,147,0.86,0.92,Family|Horror,D_Fernandez,A_11,PG,7,7.5,English,USA
159,Dark Fall,2021,105,,0.0,Adventure,D_Johnson,A_Jones,PG,9,6.2,English,USA
160,Hidden Report,1995,134,3.71,8.05,Family,D_Garcia,A_Jones,PG,8,5.2,Hindi,IND
161,Final Heist,2021,135,1.2,16.09,Documentary,D_3,A_Kumar,PG-13,2,6.2,English,UK
162,Hidden Heist,1993,121,39.57,18.45,Crime,D_37,A_Singh,PG-13,48,5.6,French,FRA
163,Final Fall,2000,106,129.25,142.43,Drama,D_Nguyen,A_Lopez,R,38,6.5,French,FRA
164,Silent Sky,2006,90,80.4,0.0,Family,D_Nguyen,A_Singh,G,41,6.0,English,USA
165,Secret Rise,2013,117,49.15,29.26,Family|Adventure,D_11,A_Jones,R,39,7.1,English,USA
166,Hidden Report,1994,125,4.62,0.0,Crime,D_Kumar,A_162,PG-13,8,8.0,Hindi,IND
167,Dark Night,2023,136,32.59,44.44,Sci-Fi,D_Kumar,A_131,PG-13,43,4.9,English,USA
168,Urban Promise,1995,96,80.44,100.91,Fantasy,D_89,A_23,PG-13,45,5.8,English,USA
169,Bright Days,2011,106,,24.48,Thriller,D_90,A_28,R,37,6.1,English,USA
170,Golden Picnic,2000,96,4.26,,Comedy,D_44,A_1,R,3,5.6,English,USA
171,Final Dream,2005,100,3.15,8.68,Sci-Fi,D_47,A_Garcia,PG,4,6.6,English,USA
172,Midnight Report,2022,120,30.33,59.72,Crime,D_Johnson,A_61,PG-13,34,4.4,English,USA
173,Dark Report,1998,100,15.65,38.28,Sci-Fi,D_Fernandez,A_Jones,PG-13,34,6.3,English,USA
174,Red Kingdom,1995,98,2.54,3.33,Thriller,D_Wong,A_33,R,9,5.0,English,USA
175,Secret Dream,2005,122,91.0,73.38,Fantasy,D_Kumar,A_Zhao,R,46,7.4,English,UK
176,Urban Love,2018,117,8.41,21.96,Crime,D_Smith,A_Jones,PG-13,31,6.8,French,FRA
177,Secret Promise,1992,115,39.35,97.01,Crime,D_Lee,A_Zhao,PG-13,34,5.8,English,USA
178,Last Sky,2009,100,1.69,1.84,Fantasy|Action|Family,D_91,A_36,PG-13,7,5.1,English,USA
179,Secret Report,2008,129,102.57,0.0,Horror,D_81,A_Jones,PG-13,46,8.8,Mandarin,CHN
180,Bright Report,2015,110,1.73,2.31,Sci-Fi,D_Lee,A_Lopez,R,4,6.0,English,USA
181,Silent Journey,1992,146,119.79,251.36,Horror,D_84,A_Garcia,PG-13,36,5.3,English,UK
182,Bright Report,2008,112,4.53,5.24,Romance|Fantasy,D_Patel,A_Smith,R,11,6.5,English,USA
183,Bright Echo,2009,75,1.51,,Romance|Adventure,D_39,A_Jones,PG-13,9,7.9,English,UK
184,Silent Journey,2021,74,83.51,132.83,Action,D_Fernandez,A_Chen,PG,38,6.6,English,USA
185,Secret Promise,1996,119,3.4,0.0,Comedy,D_Smith,A_39,PG-13,9,6.1,English,USA
186,Golden Echo,2022,130,3.68,10.65,Drama,D_91,A_177,PG-13,6,7.0,Mandarin,CHN
187,Hidden Heist,2007,98,1.11,24.45,Sci-Fi|Documentary|Fantasy,D_Garcia,A_62,PG-13,7,7.2,English,USA
188,Final Picnic,1990,142,68.06,43.1,Horror,D_Smith,A_192,R,44,7.7,Mandarin,CHN
189,Family Journey,2000,135,26.63,47.51,Family,D_98,A_187,PG-13,41,6.5,English,USA
190,First Days,2017,113,3.94,0.0,Thriller,D_10,A_8,PG-13,5,5.2,English,USA
191,Indie Love,2014,118,5.5,2.9,Family,D_Wong,A_Garcia,R,41,7.2,English,USA
192,Final Night,2012,123,1.36,4.67,Adventure|Thriller,D_56,A_165,PG-13,5,6.2,English,USA
193,Last Kingdom,2020,138,95.21,86.5,Drama,D_29,A_14,PG,39,7.7,Spanish,ESP
194,Silent Sky,2019,120,2.44,0.0,Thriller,D_Wong,A_Chen,PG,10,8.1,Spanish,MEX
195,Final Dream,2024,113,1.81,0.0,Horror,D_Kumar,A_Singh,PG,8,6.9,English,USA
196,Urban Picnic,1996,120,4.48,15.78,Sci-Fi,D_15,A_Patel,PG-13,8,5.8,English,UK
197,Indie Picnic,2005,118,5.71,0.0,Sci-Fi,D_72,A_Singh,PG-13,45,6.4,English,USA
198,Last Days,2015,124,1.71,6.16,Romance,D_Nguyen,A_Jones,R,12,7.2,English,USA
199,Dark Report,1991,86,1.5,9.09,Comedy,D_Brown,A_Brown,PG-13,6,7.4,English,USA
200,Silent Picnic,1990,115,54.45,190.23,Family|Comedy,D_61,A_10,R,44,4.9,English,UK
201,First Love,2001,117,1.37,2.69,Romance,D_86,A_150,PG,9,8.2,Spanish,ESP
202,Midnight Promise,1994,109,116.68,0.0,Romance,D_Brown,A_Jones,PG,35,7.8,English,USA
203,Silent Fall,2021,122,1.34,2.19,Romance,D_Smith,A_124,PG-13,8,6.0,English,USA
204,Silent Night,1998,139,1.87,6.13,Comedy|Horror,D_Kumar,A_51,PG-13,14,6.6,English,USA
205,Secret Kingdom,2024,112,0.9,7.27,Adventure,D_87,A_186,R,5,6.5,English,UK
206,First Report,2008,120,8.37,4.32,Adventure,D_58,A_131,R,47,5.3,Mandarin,CHN
207,Midnight Heist,2005,134,,262.4,Comedy|Adventure,D_8,A_Brown,PG-13,44,3.7,English,USA
208,Red Sky,1992,112,1.57,0.0,Horror|Sci-Fi,D_Wong,A_111,R,4,6.0,Mandarin,CHN
209,Bright Kingdom,2009,97,4.35,0.0,Drama,D_Fernandez,A_169,PG-13,8,6.1,English,USA
210,Indie Promise,2013,119,,,Romance,D_Smith,A_Brown,PG-13,6,6.8,English,USA
211,Silent Report,2022,77,4.93,11.53,Romance,D_67,A_Lopez,PG-13,5,4.7,English,USA
212,Red Love,2013,76,1.48,0.36,Family,D_Fernandez,A_Zhao,PG,7,6.5,Japanese,JPN
213,Loud Edge,2000,115,7.95,15.39,Action|Romance|Drama,D_Nguyen,A_Zhao,R,28,8.7,English,USA
214,Loud Report,1997,75,151.66,292.61,Adventure,D_Nguyen,A_40,R,51,8.9,English,USA
215,Indie Night,2009,90,2.24,0.0,Family,D_59,A_Zhao,R,8,6.5,English,USA
216,Loud Echo,2024,104,200.91,442.58,Crime|Sci-Fi,D_Lee,A_40,PG-13,48,6.3,Hindi,IND
217,Hidden Edge,2014,99,3.37,10.39,Horror,D_Wong,A_Smith,Unrated,7,7.4,English,UK
218,Indie Edge,2024,108,1.43,1.72,Drama,D_89,A_Singh,PG,6,4.7,English,USA
219,Red Journey,2014,127,7.38,0.0,Crime,D_27,A_67,PG-13,47,7.2,English,USA
220,Loud Edge,2018,114,197.85,1057.27,Action|Adventure|Sci-Fi,D_Fernandez,A_Kumar,PG-13,3,7.3,English,UK
221,Bright Fall,2007,97,,,Action,D_8,A_Garcia,PG-13,37,4.5,English,USA
222,First Love,2007,130,0.42,2.62,Fantasy,D_Brown,A_92,PG-13,8,7.4,Mandarin,CHN
223,Family Heist,1991,89,3.04,5.29,Action,D_Brown,A_64,PG-13,8,7.2,English,USA
224,Golden Love,2024,113,3.66,12.5,Horror,D_Nguyen,A_Patel,PG,5,6.8,Spanish,ESP
225,Urban Kingdom,2005,87,2.99,4.62,Romance,D_29,A_196,PG-13,17,6.6,Hindi,IND
226,Secret Love,2022,114,42.15,101.2,Crime,D_70,A_Patel,R,39,7.4,English,USA
227,Red Heist,1993,105,2.32,0.0,Action,D_Fernandez,A_Garcia,R,3,6.8,English,USA
228,Last Sky,2022,126,18.26,30.04,Thriller,D_93,A_Patel,PG-13,43,7.2,English,USA
229,Golden Fall,2003,121,111.88,44.98,Romance,D_Fernandez,A_100,R,50,7.0,English,USA
230,Hidden Journey,2010,101,3.31,0.0,Romance,D_19,A_Jones,R,6,6.5,French,FRA
231,Dark Edge,2009,98,6.35,15.15,Drama|Documentary,D_Garcia,A_Lopez,PG-13,36,7.3,English,USA
232,Final Kingdom,1997,105,134.48,102.58,Drama,D_36,A_43,R,49,6.4,English,USA
233,Star Sky,1996,138,205.8,452.17,Fantasy|Family,D_Fernandez,A_145,R,39,5.8,English,USA
234,Hidden Night,1992,134,6.2,10.32,Crime,D_Fernandez,A_Zhao,R,45,5.1,English,AUS
235,Bright Report,2006,95,2.3,,Sci-Fi|Fantasy,D_Lee,A_Singh,PG-13,11,5.7,English,USA
236,Final Dream,2022,122,8.91,11.67,Fantasy|Documentary,D_Johnson,A_Singh,PG,36,8.2,Hindi,IND
237,Final Night,2001,84,81.01,204.5,Family,D_Patel,A_Jones,PG-13,40,5.4,English,USA
238,Bright Promise,2011,103,59.18,16.62,Crime|Sci-Fi,D_Brown,A_175,PG-13,40,5.3,English,USA
239,Indie Kingdom,2011,96,3.18,9.34,Adventure,D_Smith,A_Smith,PG-13,7,6.8,English,USA
240,Hidden Fall,2019,126,7.1,3.27,Action,D_Lee,A_24,R,41,7.4,English,USA
241,Bright Fall,1997,91,,7.07,Sci-Fi,D_Garcia,A_117,R,3,8.6,English,UK
242,Golden Journey,2016,116,4.02,2.02,Comedy|Crime,D_Lee,A_142,PG-13,12,6.5,English,USA
243,First Echo,2016,110,,74.11,Fantasy,D_Johnson,A_Chen,Unrated,29,6.2,English,USA
244,Indie Night,2023,107,2.87,0.3,Romance,D_Lee,A_Smith,PG,10,7.3,English,USA
245,Golden Kingdom,2010,135,2.89,3.44,Comedy|Action,D_83,A_107,PG-13,5,5.8,English,UK
246,Indie Days,2019,136,7.82,2.52,Family,D_45,A_Jones,PG-13,34,6.5,English,UK
247,Hidden Promise,2022,108,0.91,2.27,Family,D_80,A_Zhao,PG-13,6,8.3,English,USA
248,Hidden Sky,2017,105,5.83,0.0,Fantasy|Comedy,D_72,A_Singh,PG-13,38,5.8,Hindi,IND
249,Bright Echo,2022,87,56.43,72.28,Action,D_Fernandez,A_Kumar,R,40,5.1,French,FRA
250,Secret Picnic,1994,110,,12.27,Drama,D_Fernandez,A_12,PG-13,32,3.7,Hindi,IND
251,Secret Sky,2008,139,1.41,0.0,Adventure,D_44,A_Chen,PG-13,7,6.2,English,USA
252,Indie Kingdom,1993,108,,0.0,Thriller|Documentary|Horror,D_75,A_65,PG-13,52,7.6,English,USA
253,Star Echo,2024,121,0.99,0.0,Adventure,D_37,A_118,PG-13,7,5.9,English,USA
254,Secret Picnic,2006,89,,3.66,Action,D_Brown,A_Garcia,PG-13,9,7.0,English,USA
255,Silent Heist,2017,103,1.18,2.97,Family,D_Brown,A_96,PG-13,10,5.1,English,USA
